fold,test_subject,validation_subject,eeg_accuracy,eeg_macro_precision,eeg_macro_recall,eeg_macro_f1,eeg_roc_auc,fnirs_accuracy,fnirs_macro_precision,fnirs_macro_recall,fnirs_macro_f1,fnirs_roc_auc,fusion_accuracy,fusion_macro_precision,fusion_macro_recall,fusion_macro_f1,fusion_roc_auc,fusion_minus_eeg_f1,fusion_minus_fnirs_f1,fusion_minus_best_unimodal_f1,eeg_val_f1,fnirs_val_f1,fusion_val_f1
1,VP001,VP002,0.37037037037037035,0.2962962962962963,0.3703703703703704,0.3240740740740741,0.5267489711934157,0.48148148148148145,0.4850427350427351,0.48148148148148157,0.4314574314574314,0.5720164609053499,0.3333333333333333,0.3348873348873349,0.3333333333333333,0.3101010101010101,0.5679012345679012,-0.013973063973064026,-0.12135642135642127,-0.12135642135642127,0.49401709401709404,0.5842131724484666,0.6307762871230363
2,VP002,VP003,0.3333333333333333,0.11538461538461538,0.3333333333333333,0.1714285714285714,0.765432098765432,0.4444444444444444,0.45555555555555555,0.4444444444444445,0.3954013822434876,0.6378600823045267,0.4444444444444444,0.3055555555555556,0.4444444444444445,0.36162870945479647,0.6748971193415638,0.19020013802622507,-0.033772672788691116,-0.033772672788691116,0.4804494897374154,0.7360857386432834,0.8176937441643325
3,VP003,VP004,0.2962962962962963,0.2719298245614035,0.2962962962962963,0.24542124542124544,0.5370370370370371,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.8251028806584362,0.5555555555555556,0.5566239316239315,0.5555555555555555,0.5452168746286393,0.7736625514403292,0.2997956292073939,-0.08441275500099032,-0.08441275500099032,0.38390804597701145,0.4316034842350632,0.3500417710944026
4,VP004,VP005,0.3333333333333333,0.23611111111111108,0.3333333333333333,0.2711111111111111,0.5555555555555556,0.37037037037037035,0.3713323713323713,0.3703703703703704,0.3685185185185185,0.47736625514403297,0.25925925925925924,0.2847805788982259,0.25925925925925924,0.24145299145299146,0.46913580246913583,-0.029658119658119625,-0.12706552706552707,-0.12706552706552707,0.3883541295306001,0.5507455507455508,0.5268518518518519
5,VP005,VP006,0.37037037037037035,0.27972027972027974,0.3703703703703704,0.3181818181818182,0.5411522633744856,0.4074074074074074,0.40151515151515155,0.40740740740740744,0.40196078431372545,0.6193415637860081,0.4444444444444444,0.4398148148148148,0.4444444444444444,0.4412338034629056,0.6296296296296297,0.1230519852810874,0.03927301914918013,0.03927301914918013,0.5787878787878787,0.546031746031746,0.6296296296296297
6,VP006,VP007,0.4444444444444444,0.45555555555555555,0.4444444444444445,0.3954013822434875,0.6049382716049383,0.48148148148148145,0.4916666666666667,0.48148148148148145,0.46340275240531,0.6522633744855967,0.4074074074074074,0.3929292929292929,0.4074074074074074,0.39415204678362575,0.6954732510288065,-0.0012493354598617223,-0.06925070562168423,-0.06925070562168423,0.4436265488897068,0.5565323565323564,0.5904761904761905
7,VP007,VP008,0.4444444444444444,0.49728049728049734,0.4444444444444445,0.4262626262626263,0.6131687242798354,0.48148148148148145,0.5032051282051282,0.48148148148148145,0.4809269162210339,0.6851851851851852,0.4444444444444444,0.4444444444444444,0.4444444444444445,0.4166666666666667,0.7016460905349794,-0.009595959595959602,-0.06426024955436721,-0.06426024955436721,0.612280701754386,0.5864052287581699,0.6246990024079807
