Model,N_subjects,Mean Accuracy,SD Accuracy,Mean Macro Precision,SD Macro Precision,Mean Macro Recall,SD Macro Recall,Mean Macro F1,SD Macro F1,Mean ROC-AUC,SD ROC-AUC
EEG,7,0.37037037037037035,0.05657500857970173,0.3074683114156798,0.1304506581870914,0.3703703703703704,0.05657500857970175,0.3074115469604191,0.08747696599553063,0.5920047031158143,0.08355289781120091
fNIRS,7,0.4708994708994708,0.08202480390993643,0.47684960542103394,0.08325225247207976,0.470899470899471,0.0820248039099364,0.4530424878270195,0.08718748821922301,0.6384479717813052,0.10641205522963076
Fusion,7,0.41269841269841273,0.09425318670820028,0.3941479933076572,0.09516370486672096,0.41269841269841273,0.09425318670820025,0.3872074432215193,0.09716475290211973,0.644620811287478,0.10025957637674493
